state,id,city,mayor.party,county,paris,pop2018,income,gdppercap,education,air_violation,coastal,dry,wet,gov
oh,58,Akron,1,Summit,0,198006,34190,36371,20,64,0,0,9,0
va,75,Alexandria,1,Alexandria,1,160530,82899,66489,60.40000153,46,0,0,0,1
pa,66,Allentown,1,Lehigh,1,121433,36202,32744,16.60000038,27,0,0,7,1
ga,23,Athens,1,Clarke,0,115452,33806,30894,41.5,9,0,0,5,0
ga,21,Atlanta,1,Fulton,1,498044,45946,51281,27.20000076,49,0,0,5,0
ga,24,Augusta,1,Richmond,0,197081,38877,31950,20.5,14,0,0,2,0
il,26,Aurora,0,Kane,0,201110,62358,50725,31.20000076,68,0,21,0,1
md,44,Baltimore,1,Baltimore,1,611648,40100,45937,25.20000076,39,1,0,0,0
ma,39,Boston,1,Suffolk,1,694583,51739,59748,38.29999924,15,1,0,6,0
ct,1,Bridgeport,1,Fairfield,1,146579,40947,81705,15.80000019,18,0,0,0,0
ma,40,Cambridge,1,Middlesex,1,118977,69107,59748,72.09999847,15,1,0,6,0
fl,4,Cape Coral,0,Lee,0,189343,51407,37092,20.39999962,1,1,0,14,0
nc,45,Cary,0,Wake,0,162025,91997,45397,62.29999924,26,0,0,0,1
sc,68,Charleston,1,Charleston,1,136208,50938,38273,46.29999924,8,1,0,0,0
nc,46,Charlotte,0,Mecklenburg,1,872498,53146,65172,39.09999847,34,0,0,0,1
tn,73,Chattanooga,0,Hamilton,1,180557,36689,37090,25.60000038,14,0,0,0,1
va,76,Chesapeake city,0,Chesapeake ,0,242634,70115,41511,27.89999962,12,1,0,0,1
il,25,Chicago,1,Cook,1,2705994,47371,50725,32.90000153,68,0,21,0,1
oh,59,Cincinnatti,1,Hamilton,0,301301,34104,43906,31,89,0,0,0,0
tn,74,Clarksville,0,Montgomery,0,156794,47483,32185,22.89999962,16,0,0,0,1
fl,5,Clearwater city,0,Pinellas,0,116478,41986,38812,26.89999962,53,1,0,9,0
oh,62,Cleveland,1,Cuyahoga,1,383793,27470,46534,13.80000019,95,0,0,5,0
sc,69,Columbia,1,Richland,1,133451,38995,38534,39,28,0,0,0,0
oh,61,Columbus,1,Franklin,1,892533,43348,48223,32.29999924,32,0,0,4,0
ga,22,Columbus,0,Muscogee,0,194058,41088,34131,21.60000038,9,0,0,20,0
fl,6,Coral Springs city,0,Broward,1,133507,70610,43914,36.09999847,4,1,0,14,0
oh,60,Dayton,1,Montgomery,0,140640,28843,38146,15,24,0,0,1,0
nc,47,Durham,1,Durham,1,274291,47394,57157,45.59999847,12,0,0,0,1
il,32,Elgin,0,Kane,1,97382,59032,50725,23.60000038,68,0,21,0,1
in,36,Evansville,1,Vanderburgh,0,111683,36413,41945,18.5,88,0,0,0,0
nc,48,Fayetteville,1,Cumberland,0,209468,44266,37473,23.89999962,17,0,0,0,1
fl,7,Fort Lauderdale city,1,Broward,1,182585,50648,43914,32.5,4,1,0,0,0
in,34,Fort Wayne,1,Allen,1,267633,44597,39603,25.5,31,0,2,0,0
fl,8,Gainesville,1,Alachua,1,133857,30952,33837,43.79999924,3,0,0,4,0
nc,49,Greensboro,1,Guilford,1,236449,41973,44197,35.40000153,13,0,0,0,1
va,77,Hampton,0,.Hampton city,0,134581,51083,41511,21.79999924,12,1,0,0,1
nc,50,High Point,0,Davidson,0,112316,44020,44197,29.10000038,13,0,0,0,1
fl,9,Hollywood,1,Broward,1,154823,45611,43914,27.5,4,1,0,14,0
in,33,Indianapolis,1,Marion,0,876862,42704,53914,27.10000038,78,0,0,0,0
fl,10,Jacksonville,0,Duval,0,903899,49192,42601,24,22,1,0,4,0
il,29,Joliet,0,Kendall,0,148099,60528,50725,22.29999924,68,0,21,0,1
tn,71,Knoxville,0,Knox,1,187500,33467,40363,29.70000076,103,0,0,0,1
ky,38,Lexington,1,Fayette,1,323780,48306,45908,39.29999924,14,0,4,0,0
ky,37,Louisville,1,Jefferson,1,620118,43680,40996,26,90,0,0,0,0
ma,41,Lowell,1,Middlesex,0,111640,51471,59748,22.70000076,15,0,0,5,0
tn,72,Memphis,1,Shelby,1,650618,37072,45972,23.10000038,68,0,0,0,1
fl,11,Miami,0,Dade,1,470914,30270,45353,22.20000076,4,1,0,0,0
fl,12,Miami Gardens city,1,Dade,0,113069,44215,43914,16.39999962,4,1,0,0,0
fl,13,Miramar,1,Broward,0,140823,64767,43914,32.40000153,4,0,0,14,0
il,28,Naperville,0,Dupage,0,148304,105585,50725,65.40000153,68,0,21,0,1
tn,70,Nashville,1,Davidson,1,669053,46141,47156,33.70000076,34,0,0,0,1
nj,55,New York city,0,New York,1,8398748,51270,57803,33.29999924,45,1,3,0,0
nj,53,Newark,1,Essex,1,282090,35696,57803,12.30000019,45,1,2,0,1
va,78,Newport News,1,.Newport News city,1,178626,50942,41511,23.5,12,1,0,0,1
va,79,Norfolk,1,.Norfolk city,0,244076,43914,41511,23.70000076,12,1,0,0,1
fl,14,Orlando,1,Orange,1,285713,42755,46679,32.29999924,9,0,0,3,0
fl,15,Palm Bay,1,Brevard,0,114194,44768,31601,17.79999924,1,1,0,0,0
nj,54,Paterson,1,Pasaic,0,145627,34302,57803,9.800000191,45,0,2,0,1
fl,16,Pembroke Pines,1,Broward,0,172374,61873,43914,31.5,4,0,0,14,0
il,31,Peoria,0,Peoria,0,111318,46030,39396,32.20000076,31,0,16,0,1
pa,64,Philadelphia,1,Philadelphia,1,1584138,36957,50470,22.20000076,57,0,0,2,1
pa,65,Pittsburgh,1,Allegheny,1,316206,37161,41577,33.79999924,121,0,3,2,1
fl,17,Pompano Beach,1,Broward,1,111954,61873,44509,23.10000038,4,0,0,0,0
fl,18,Port St Lucie,1,St. Lucie,0,195248,49310,27901,17.60000038,4,0,0,0,0
ri,67,Providence,1,Providence,1,179335,38922,44606,29,19,1,0,2,0
nc,51,Raleigh,1,Wake,1,469298,52819,45397,46.59999847,26,0,0,0,1
va,80,Richmond,1,Richmond,1,228783,39201,47767,32.59999847,41,1,0,0,1
il,27,Rockford,0,Winnebago,1,146526,38864,33341,21.10000038,7,0,24,0,1
in,35,South Bend,1,St Joseph,1,101860,34749,34953,21.70000076,21,0,9,0,0
il,30,Springfield,1,Sagamon,1,114694,48022,38863,32.5,16,0,16,0,1
ma,42,Springfield,1,Hampden,1,115302,35603,29292,16.89999962,18,0,0,5,0
fl,19,St Petersburg,0,Pinellas,1,265098,44510,38812,27.79999924,53,1,0,9,0
ct,2,Stamford,1,Fairfield,1,129775,78201,81705,42.59999847,18,0,0,0,0
ny,56,Syracuse,1,Onandaga,1,142749,31689,35693,25.60000038,9,0,0,6,0
fl,20,Tampa,1,Hillsborough,1,392890,43597,38812,31.20000076,53,1,0,9,0
oh,63,Toledo,1,Lucas,1,274975,34170,38725,17.29999924,30,0,0,3,0
va,81,Virginia Beach,1,Virginia Beach,0,450138,65910,41511,31.89999962,12,1,0,0,1
ct,3,Waterbury,1,New Haven,0,108093,41499,41361,16.89999962,18,0,0,0,0
nc,52,Wilmington,0,New Hanover,0,117525,39764,36225,36.20000076,4,1,0,0,1
nc,52,Winston-Salem,1,Forsyth,1,246328,41228,47109,31.79999924,25,0,0,0,1
ma,43,Worcester,1,Worcester,1,185877,45846,32971,29.60000038,8,0,0,5,0
ny,57,Yonkers,0,Westchester,1,202099,56816,57803,29.10000038,45,0,3,1,0
