"","Status","AG","TL","AE","WT","BH","HL","FL","TT","SK","KL"
"1","Survived",1,154,241,24.5,31.2,0.69,0.67,1.02,0.59,0.83
"2","Survived",1,160,252,26.9,30.8,0.74,0.71,1.18,0.6,0.84
"3","Survived",1,155,243,26.9,30.6,0.73,0.7,1.15,0.6,0.85
"4","Survived",1,154,245,24.3,31.7,0.74,0.69,1.15,0.58,0.84
"5","Survived",1,156,247,24.1,31.5,0.71,0.71,1.13,0.57,0.82
"6","Survived",1,161,253,26.5,31.8,0.78,0.74,1.14,0.61,0.89
"7","Survived",1,157,251,24.6,31.1,0.74,0.74,1.15,0.61,0.86
"8","Survived",1,159,247,24.2,31.4,0.73,0.72,1.13,0.61,0.79
"9","Survived",1,158,247,23.6,29.8,0.7,0.67,1.08,0.6,0.82
"10","Survived",1,158,252,26.2,32,0.75,0.74,1.15,0.61,0.86
"11","Survived",1,160,252,26.2,32,0.74,0.72,1.13,0.62,0.89
"12","Survived",1,162,253,24.8,32.3,0.77,0.75,1.13,0.63,0.92
"13","Survived",1,161,243,25.4,31.8,0.72,0.72,1.13,0.6,0.89
"14","Survived",1,160,250,23.7,29.8,0.73,0.7,1.1,0.59,0.82
"15","Survived",1,159,247,25.7,31.4,0.73,0.72,1.14,0.59,0.93
"16","Survived",1,158,253,25.7,31.9,0.74,0.7,1.15,0.6,0.86
"17","Survived",1,159,247,26.5,31.6,0.73,0.71,1.15,0.61,0.92
"18","Survived",1,166,253,26.7,32.5,0.77,0.76,1.23,0.6,0.88
"19","Survived",1,159,247,23.9,31.4,0.75,0.72,1.11,0.6,0.82
"20","Survived",1,160,248,24.7,31.3,0.75,0.74,1.18,0.6,0.8
"21","Survived",1,161,252,28,31.8,0.77,0.73,1.19,0.59,0.88
"22","Survived",1,163,251,27.9,31.9,0.77,0.75,1.17,0.62,0.86
"23","Survived",1,156,242,25.9,32,0.72,0.71,1.12,0.61,0.89
"24","Survived",1,165,251,25.7,32.2,0.75,0.74,1.16,0.61,0.87
"25","Survived",1,160,247,26.6,32.4,0.73,0.71,1.11,0.59,0.84
"26","Survived",1,158,244,23.2,31.6,0.73,0.71,1.14,0.58,0.89
"27","Survived",1,160,242,25.7,31.6,0.71,0.7,1.12,0.62,0.79
"28","Survived",1,157,245,26.3,32.2,0.74,0.73,1.14,0.6,0.85
"29","Survived",1,159,244,24.3,31.5,0.72,0.7,1.11,0.62,0.85
"30","Survived",1,160,253,26.7,32.1,0.74,0.71,1.12,0.59,0.86
"31","Survived",1,158,245,24.9,31.4,0.73,0.7,1.12,0.58,0.85
"32","Survived",1,161,247,23.8,31.4,0.74,0.69,1.1,0.6,0.78
"33","Survived",1,160,247,25.6,32.3,0.76,0.75,1.13,0.61,0.9
"34","Survived",1,160,247,27,32,0.75,0.74,1.17,0.63,0.87
"35","Survived",1,153,241,24.7,32.2,0.73,0.68,1.09,0.59,0.88
"36","Perished",1,165,249,26.5,31,0.74,0.7,1.1,0.61,0.85
"37","Perished",1,160,245,26.1,32,0.74,0.71,1.11,0.61,0.84
"38","Perished",1,161,249,25.6,32.3,0.74,0.72,1.13,0.6,0.83
"39","Perished",1,162,246,25.9,32.3,0.74,0.71,1.13,0.61,0.87
"40","Perished",1,163,250,25.5,32.5,0.75,0.73,1.2,0.62,0.89
"41","Perished",1,162,247,27.6,31.8,0.73,0.72,1.11,0.6,0.87
"42","Perished",1,163,246,25.8,31.4,0.69,0.66,1.07,0.6,0.84
"43","Perished",1,161,246,24.9,30.5,0.74,0.73,1.14,0.58,0.8
"44","Perished",1,160,242,26,31,0.75,0.71,1.11,0.6,0.8
"45","Perished",1,162,246,26.5,31.5,0.72,0.7,1.09,0.61,0.81
"46","Perished",1,160,249,26,31.4,0.73,0.69,1.1,0.6,0.85
"47","Perished",1,161,250,27.1,31.6,0.74,0.71,1.12,0.63,0.85
"48","Perished",1,162,248,25.1,31.9,0.74,0.72,1.15,0.59,0.84
"49","Perished",1,165,252,26,32.3,0.73,0.71,1.14,0.61,0.89
"50","Perished",1,161,243,25.6,32.5,0.71,0.71,1.12,0.61,0.83
"51","Perished",1,161,244,25,31.3,0.7,0.69,1.08,0.6,0.87
"52","Perished",1,162,248,24.6,31,0.71,0.7,1.09,0.59,0.84
"53","Perished",1,164,244,25,31.2,0.7,0.69,1.07,0.61,0.8
"54","Perished",1,158,247,26,32,0.73,0.71,1.14,0.61,0.8
"55","Perished",1,162,253,28.3,31.8,0.75,0.72,1.15,0.6,0.86
"56","Perished",1,156,239,24.6,30.5,0.66,0.66,1.04,0.57,0.81
"57","Perished",1,166,251,27.5,31.5,0.72,0.69,1.12,0.61,0.85
"58","Perished",1,165,253,31,32.4,0.76,0.75,1.18,0.61,0.9
"59","Perished",1,166,250,28.3,32.4,0.75,0.72,1.18,0.61,0.92
"60","Survived",2,156,246,24.6,32,0.74,0.74,1.17,0.59,0.85
"61","Survived",2,156,245,25.5,32.1,0.76,0.72,1.15,0.62,0.82
"62","Survived",2,163,248,24.8,32.2,0.74,0.73,1.16,0.61,0.85
"63","Survived",2,163,248,26.3,33,0.74,0.7,1.15,0.61,0.84
"64","Survived",2,160,250,24.4,31.5,0.75,0.71,1.17,0.6,0.89
"65","Survived",2,156,237,23.3,30.6,0.69,0.66,1.01,0.59,0.77
"66","Survived",2,162,253,26.7,32,0.76,0.73,1.2,0.63,0.88
"67","Survived",2,163,254,26.4,32,0.77,0.75,1.16,0.61,0.89
"68","Survived",2,164,251,26.9,32,0.75,0.74,1.17,0.62,0.89
"69","Survived",2,163,244,24.3,31.3,0.72,0.68,1.08,0.61,0.89
"70","Survived",2,160,247,27,31.5,0.76,0.73,1.18,0.62,0.85
"71","Survived",2,160,250,26.8,32.5,0.76,0.73,1.12,0.63,0.84
"72","Survived",2,158,247,24.9,32.4,0.75,0.72,1.14,0.59,0.87
"73","Survived",2,158,249,26.1,32.2,0.74,0.74,1.15,0.6,0.82
"74","Survived",2,158,243,26.6,32.4,0.75,0.71,1.16,0.61,0.89
"75","Survived",2,155,237,23.3,30.2,0.69,0.65,1.01,0.59,0.79
"76","Perished",2,160,249,24,30.4,0.74,0.72,1.13,0.62,0.84
"77","Perished",2,156,236,26.8,30.2,0.69,0.67,1.07,0.56,0.83
"78","Perished",2,158,240,23.5,31,0.71,0.7,1.11,0.6,0.81
"79","Perished",2,166,245,26.9,31.7,0.71,0.69,1.11,0.6,0.85
"80","Perished",2,165,255,28.6,31.5,0.77,0.74,1.17,0.61,0.85
"81","Perished",2,157,238,24.7,31.2,0.68,0.68,1.16,0.6,0.77
"82","Perished",2,164,250,27.3,31.8,0.76,0.73,1.17,0.59,0.86
"83","Perished",2,166,256,25.7,31.7,0.75,0.75,1.19,0.6,0.86
"84","Perished",2,167,255,29,32.2,0.76,0.75,1.2,0.64,0.86
"85","Perished",2,161,246,25,31.5,0.74,0.71,1.12,0.59,0.85
"86","Perished",2,166,254,27.5,31.4,0.76,0.74,1.12,0.6,0.91
"87","Perished",2,161,251,26,31.5,0.73,0.71,1.12,0.59,0.83
